Feature ID,Taxon,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,FullName
568c23731fc583a056b797e503c73ee5,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae,0.9999980031495306,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,f_Sphingomonadaceae
2111ba3f991e13a1eab6b8375fa450e1,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Pauljensenia_hongkongensis,0.7489124972439876,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Pauljensenia_hongkongensis,g_Actinomyces
d3dbebc7a7eb9ced54065e1f31ffb551,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__Clostridium_saccharoperbutylacetonicum,0.8326097564475682,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_saccharoperbutylacetonicum,g_Clostridium_sensu_stricto_1
d28d033e16801abcdde4fd6aadbd2e41,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Peptoniphilus; s__Peptoniphilus_urinimassiliensis,0.99227535507112,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Peptoniphilus,Peptoniphilus_urinimassiliensis,g_Peptoniphilus
a9fbf6113c9138b2eb2766d7ef18b625,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_salivae,0.9999929956725022,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_salivae,g_Prevotella
2df5c6e9bce834e05802856736cba874,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__Dialister_micraerophilus,0.999999972055861,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus,g_Dialister
5dca8b24543cb255fd5aa02df543da2c,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_anginosus,0.99999330495139,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus,g_Streptococcus
4d63fa1c6bfbbd305c72896b8372ec09,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Peptoniphilus; s__uncultured_bacterium,0.999925073290276,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Peptoniphilus,uncultured_bacterium,g_Peptoniphilus
e107aacc317666b4b1022f4d9b90ed56,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Peptoniphilus,0.9999301776224604,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Peptoniphilus,,g_Peptoniphilus
3547a48c7c3bf8cf98248946ed412e86,d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__Thermus_scotoductus,0.9893860843258212,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus_scotoductus,g_Thermus
